[2023-12-12 22:39:02,320] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,332] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,343] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,354] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,366] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,378] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,390] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,402] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,412] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2023-12-12 22:39:02,424] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(wlOs7F2kT_iycHqhjIf2RA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
